word,Sanskrit,Hindi,Odiya
चतुरानन,चत्वारि आननानि यस्य सः चतुराननः । ब्रह्मा ।,चार मुखों वाले।,चारि मुख याहार अछि ।  ब्रह्मा
धातृ,सर्वं ददाति इति धाता । ब्रह्मा ।,सव को धारण करने वाला। सहारा देने वाला।,समस्तंकु धारण करिबा बाला । सहाय हेबा बाला ।  ब्रह्मा
अब्जयोनि,अब्जं योनिः अस्य अब्जयोनिः ।,बिष्णुनाभिकमल से पैदा होने वाला।,बिष्णुनाभिकमलरु यिए जन्म होइछन्ति ।  ब्रह्मा
द्रुहिण,द्रुह्यति दुष्टेभ्यः इति द्रुहिणः ।,दुष्टों या असुरों से द्रोह करने वाला।,दुष्ट अथवा असुरमानङ्कु यिए द्रोह करे ।  ब्रह्मा
विरिञ्चि,विभिः हंसैः रिच्यते उह्यते इति वा विरिञ्चिः ।,विरचन करने वाला।,सृष्टि कर्ती यिए ।  ब्रह्मा
कमलासन,कमलं आसनं यस्य सः कमलासनः । ब्रह्मा ।,कमल जिनका आसन।,कमल जिनका आसन ।  ब्रह्मा
स्रष्टृ,सृजतीति स्रष्टा । सृजविसर्गॆ । ब्रह्मा ।,सृष्टि करने वाला।,सृष्टि यिए करन्ति ।  ब्रह्मा
प्रजापति,प्रजानां पतिः प्रजापतिः । ब्रह्मा ।,प्रजाओं का पति  श्रेष्ठ।,"प्रजामानकंर पति, श्रेष्ट ।  ब्रह्मा"
वेधस्,विधति सृजतीति वेधः । ब्रह्मा ।,सृष्टि करने वाला विधिका विधान वनाने वाला।,सृष्टि कर्ता । विधान करे यिए ।  ब्रह्मा
विधातृ,विदधाति सर्वमिति विधाता । ब्रह्मा । विशेषेण दधातीति विधाता ।,निर्माण  सृष्टि  अनुदान करने वाले।,निर्मण सृष्टि अनुदानादि करे यिए ।  ब्रह्मा
विश्वसृज्,विश्वं सृजतीति विश्वसृज् । ब्रह्मा ।,विश्व को सृष्टि करने वाला ।,विश्वकु यिए सृष्टि करे ।  ब्रह्मा
विधि,सर्वं विदधातीति विधिः । ब्रह्मा । विधत्ते इति विधिः ।, यह `विधि शब्द नियम और परिसंरव्या से भिन्न है, एहि बिधि शब्द नियम एवं परिसंर्वयान ठारु भिन्न अटे
विष्णु,विश्वं वेष्टि व्याप्नोतीति विष्णुः ।,इस कर्तव्य को भिन्न भिन्न अवतार धारण करके संपन्न किया जाता है। विश्व व्यापक होने से। विष्णु,एहि कर्तव्यकु भिन्न भिन्न अवतार माध्यमरे संपन्न करायाइथाए । विश्व व्यापक
नारायण,अरायणः  न अरायणः नारायणः ।,नरों का देह नार  अवतारों में नरो का देह धारण करने से नारायण। विष्णु,"नरमानकंर देह नार, अबतार समयरे नर देह धारण करुथिबारु नारायण ।  विष्णु"
नारायण,नरसमूहो नारं   तस्य अयनमिति वा   तदयनमस्येति वा नारायणः ।,नरों का समूह नार उसका स्थान नारायण  विष्णु,नरमानकंर समूह नार   तार स्थान नारायण ।  विष्णु
नारायण,नरस्येदं नारं  अवतारेषु नारं वपुर्यत इति नारायणः,नारा  पानि जिनका अयन।,पाणि  नारा  आप याहार अतवा  स्थान  ।  विष्णु
कृष्ण,कृष्णवर्णत्वात् वा कृष्णः ।,कंस नरक  केश  अरिष्ट तथा अन्य अनेक राक्षासों  दैत्यों को मारने से कृष्ण। विष्णु,"कंस,नरक, केश, अरिष्ट तथा अन्य अनेक राक्षस तथा दैत्यमानंकु मापिथिबारू कृष्ण ।"
कृष्ण,सर्वं करोतीति कृष्णः । विष्णुः । दैत्यान् कर्षतीर्ति वा कृष्णः ।,कृष्ण या काला  श्याम वर्ण होने से कृष्ण। विष्णु,"कृष्ण अथवा कला, श्याम वर्ण होईथिबारु  कृष्ण ।  विष्णु"
वैकुण्ठ,कस्मिश्चिन्मन्वन्तरे विकुण्ठायां मातरि जातत्वात् वैकुण्ठः । विष्णुः ।,विकुण्ठा से जात होने से।,विकुण्ठा ठारु जन्म होइथिवारु ।  विष्णु
विष्टरश्रवस्,विष्टरं व्यापनशीलं श्रवं कीर्तिर्यस्य सः ।, विष्टर अश्वत्थवृक्ष में रहने वाले या शोने वाले।," विष्टर  अश्वत्थ वृक्षरे शोउथिबा, रहुथिबारु ।  विष्णु"
विष्टरश्रवस्,विष्टरविव दर्भमुष्टीव श्रवसी कर्णौ अस्य ।,मुट्ठोभर कुशाधास जैसे इनक कर्ण होने से। विष्णु,मुठाए कुशधास परि कर्ण होइथिवारु ।  विष्णु
विष्टरश्रवस्,विष्टराकारो रोमावर्तः श्रवसि यस्य सः विष्टरश्रवाः ।,विष्टर व्यापनशील श्रव  कीर्ति जिनक। विष्णु,विष्टर   व्यापनशील श्रव   कीर्ति याहार ।  विष्णु
दामोदर,उदरे दाम यस्येति दामोदरः । दाम्ना उदरमात्रा बद्ध इति दामोदरः । विष्णुः ।,दाम बन्धनरज्जु उदर में जिनका।,दाम   बन्धनरज्जु उदररे याहाहर ।  विष्णु
हृषीकेश,हृषीकाणाम् इन्द्रियाणाम् ईशः हृषीकेशः । विष्णुः ।,इन्द्रियों का ईश श्रेष्ठ।,ज्ञानेन्द्रियंकर ईश   श्रेष्ठ ।  विष्णु
केशव,क इति ब्रह्मणो नाम ईशोहं सर्व देहिनां इति केशवः ।,केशि नामक असुर को मारने वाला। विष्णु,केशि नामक असुरकु मारिबा बाला ।  विष्णु
केशव,कश्च अश्च ईशश्च ब्रह्म विष्णुरुद्राः  ते अस्मिन् वसन्तीति वा केशवः ।,प्रसस्त  बहुत या सुन्दर  शोभन बालों वाला।,प्रसस्त अथवा सुन्दर बाल बाल ।
माधव,माधूयते शत्रुभिरिति वा पुण्डरीकाक्षः मधोः अपत्यमिति वा  तद्वंश्यत्वात् ।,मधु दैत्य के वंशजों सें संबंध रखने वाला। विष्णु,मधु दैत्यर वंशजमानङ्क सहित समबंध रखिथिबा बाला ।  विष्णु
माधव,मायाः लक्ष्म्याः धवः माधवः । यदोर्जायान् पुत्रो मधुः   तत्वंसजत्वात् माधवः ।,माया या लक्ष्मी का धव होने से।,माया अथबा लक्ष्मीङ्कर धव होअथुबारु ।
स्वभू,स्वेनात्मना जायत इति स्वभूः । विष्णुः । स्वेन हिरण्येन भवतीति वा स्वभूः ।,आप से आप होने वाला।,स्वतप्रत भावे हेबाकु ।  विष्णु
दैत्यारि,दैत्यानां अरिः दैत्यारिः । विष्णुः ।,दैत्यों का अरि दष्मन ।,दैत्यङ्कर शत्रु । विष्णु
पुण्डरीकाक्ष,पुण्डरीकाक्षः ।,खेतकमल जैसें आँख जिसका।,पुण्डहीक   रवेतकमल परि आखि याहार ।  विष्णु
गोविन्द,गां भूमिं विन्दवान् गोविन्दः । गां धेनुं विन्दतीति वा गां भुवं धेनुं स्वर्गं वेदं,गां गाय रखने वाला। भूमि रखने वाला।,गाई रखिबा वाला । भूमि रखिबा वाला ।  विष्णु
गरुडध्वज,गरुडो ध्वजो यस्य सः गरुडध्वजः । विष्णुः ।,गरुड ध्वज वाला।,गरुड याहार ध्वज ।  विष्णु
पीताम्बर,पीतं अम्बरं यस्य सः पीताम्बरः । विष्णुः ।,पीत वस्त्र जिसका।,पीत वस्त्र याहार ।  विष्णु
विष्वक्सेन,विषु नानास्थानेषु अञ्चति विष्वक् । सर्वतो व्यापिनी सेनास्य ।,जिसका सेना सर्वव्यापक है।,याहार सेना कर्वव्यापक अटे ।  विष्णु
उपेन्द्र,इन्द्रमुपगतः  अनुजत्वात् उपेन्द्रः । विष्णुः । द्वन्द्व रक्षणाय तत्समीपे स्थितो,इन्द्र का अनुज होने से उपेन्द्र ।,इन्द्रङ्कर अनुज होइथिबारु   उपेन्द्र   विष्णु  ।  विष्णु
उपेन्द्र,वा उपेन्द्रः । इन्द्र लोकादुपरि तिष्ठतीति वा उपेन्द्रः ।,इन्द्र का सुरक्षा केलिए उसका समुख में रहने वाला उपेन्द्र  विष्णु,इन्द्रङ्कर सुरक्षा पाइँ तांक पाखरे   समुखरे रहुथिबारु उपेन्द्र    विष्णु
इन्द्रावरज,इन्द्रस्य अवरजः  इन्द्रावरजः । विष्णुः ।,इन्द्र का अवरज अनुज  होने से इन्द्रावरज।,इन्द्रङ्कर अवरज  अनुज  होइथिवारू  इन्द्रावरज  विष्णु
चतुर्भुज,चत्वारो भुजा यस्य सः चतुर्भुजः । विष्णुः ।,जिसका चरा भुजों चतुर्भुज ।,याहार चारि भुज अछि । चतुर्भुज । विष्णु
पद्मनाभ,पद्मं नाभौ यस्य सः पद्मनाभः । विष्णुः ।,पद्म नाभो में जिसका पद्मनाभ।,पद्म नाभीरे याहार   पद्मनाभ ।  विष्णु
मधुरिपु,मधोः असुरस्य रिपुः मधुरिपुः । विष्णुः ।,मधु नामकं असुर का रिपु शत्रु मधुरिपु विष्णु ।,मधु नामक असुरर रिपु   शत्रु   मधुरिपु ।  विष्णु
वासुदेव,देवश्च वासुदेवः । जगति वसति अयमिति वा वासुदेवः ।,अपने आप में रहने से वासुदेव  विष्णु  ।,एठारे   वासुदेवंकठारे देवतामाने रहुथिवारु   वासुदेव  विष्णु
वासुदेव,वसुदेवस्य अपत्यं पुमान् वासुदेवः । वसन्ति स्वस्मिन् जगन्तीति वासुः   वासुश्चासौ,इसमें देवों रहने से वासुदेव  विष्णु ।,निजे निज पाखरे सर्वदा रहुथिबारु   वासुदेव  विष्णु
त्रिविक्रम,त्रिषु लोकेषु गुणेषु वा  त्रयो वा विक्रमाः पादविन्यासा यस्य ।,तीनलोक में कदम रखना चलना प्रभाव डाल लेना त्रिविक्रम  विष्णु   वालिवन्धनसमय में,"तानलोकरे पाद रखि बा, चालिबा, प्रभाव विस्तार करिबा बलि पातालगामि समयरे"
देवकीनन्दन,देवक्याः नन्दनः देवकीनन्दनः । विष्णुः ।,देवकी का नन्दन पुत्र ।,देवकीर नन्दन   पुत्र ।  विष्णु
शौरि,शूर इति वसुदेवस्य पिता तस्य गोत्रापत्यं शौरिः । विष्णुः ।,शूर का पुत्र शौरि   विष्णु,"शुर वसुदेवङ्कर पिता, तांकर गोत्रपत्य होइ थिबारु शौरि ।  विष्णु"
शौरि,शूरस्य अपत्यं  तद्वंसजत्वात् ।,शूर वंशज होने से शौरि   विष्णु,शूर वंशज होइथिवारु   शौरि  विष्णु
विधु,विद्ध्यति व्यथते प्रत्यर्थिन इति विधुः । विदधातीति वा विधुः ।,असुरों को व्यथित करने वाला ।,असुरङ्कु व्यथित करिबा बाला । विष्णु ।
विधु,विधत्यसुरान् इति विधुः ।,विधविधान करने वाला । विष्णु,विधिविधान करिबा बाला   विष्णु
विधु,देवा एनं विशेषेण धयन्तीति विधुः ।, चाँद के किरण को  सव देवता उसे पीने सें विधु ।, चन्द्रर किरणकु  देवतामाने विशेषकरि पान करु थिवारु ।
वसुदेव,वसुभिः धनैः दीव्यतीति वसुदेवः । कृष्णपिता ।,धन दौलत में प्रकाशने वाला ।,धन दैलतेर पर्पूर्ण थिबा बाला ।  कृष्णापिता
प्रलम्बघ्न,प्रलम्बघ्नः  हलायुधे,प्रलम्बासुर को हत मारना करने वाले वलभद्र  प्रलम्बाहत,प्रलम्बासुरकु हत करिबा बाला    वलभ्द्र   प्रलम्बाहत
बलदेव,बलेन दीव्यतीति बलदेवः ।,वल में प्रकाशने वाले  बलभद्र  वलप्रकाश,वलरे प्रकाशित होइथिबा  वलभद्र   वलप्रकाश
अच्युताग्रज,अच्युतस्य अग्रजो ज्येष्ठः अच्युताग्रजः । बलदेवः ।,अच्चुत के ज्येष्ठ  पहले पैदा होने वाले  बलभद्र  अच्चतज्येष्ठ,"अच्चुतङ्कर ज्येष्ठ, आग जन्म होइथिबा वाला   वलभद्र   अच्चतज्येष्ठ"
रेवतीरमण,रेवत्याः रमणः पतिः रेवतीरमणः । बलदेवः ।,रेवती की पति  बलभद्र,रवतीर पति    वलभध्र    रवतीपति
राम,रमन्ते अस्मिन् योगिनो रामः ।,आनन्दप्रद संतोषजनक सुहावना होने राम   वलभद्र,आनन्दप्रद   संतोशजनक   होइथिबारु   होइथिबारु   राम  वलभद्र
राम,रमयति मोदयति रूपसंपदेति रामः । रमुक्रीडायां । बलदेवः । रमते इति रामः,योगियों ने आनन्दित होने से इस में राम   वलभद्र,योगिमाने आनन्दित हेउथिवारु   राम  वलभद्र
कामपाल,भक्तकामान्‌ पालयतीति कामपालः । कामं स्मरं पालयति आत्मजत्वात्कामपालः ।,काम का आत्मज होने सें कामपाल । बलभद्र,कामनाकु पुरण करुथिबारु   कामपाल   बलभद्र  ।  बलभद्र
हलायुध,हलं लांगलं आयुधं यस्य सः हलायुधः । बलदेवः ।,हल आयुध जिसका ।,हल याहार आयुध    अस्त्र    वलभद्र
रौहिणेय,रोहिण्या अपत्यं रौहिणेयः । बलदेवः ।,रौहिणी की पुत्र  बलभद्र   रोहिणिपुत्र,रोहिणीर पुत्र   वलभद्र     रोहिणी पुत्र
रौहिणेय,रोहिण्याः अपत्यं पुमान् रौहिणेयः ।,रोहिणी के पुत्र होने से रौहिणेय।, मही  पृथिवीर  सूत  पुत्र होइ थिवारु महीसूत ।
मुसलिन्,मुसलायुधमस्यास्तीति वा मुसली । बलदेवः ।,मुसल  गतका गदा जैसे  रहने से मुसली  बलभद्र,मूसल  गदापरि एक आयुध  रहिथिबारु   मुसली   वलभद्र
हलिन्,हलमस्यास्तीति हली । बलदेवः ।,हल रहने से हली   बलभद्र,हल रहिथिबारू   हली   वलभद्र
सीरपाणि,सीरं लांगलं पाणौ यस्य सः सीरपाणिः । बलदेवः ।,सीर लांगल पाणि हात में जिसका  सीरपाणि  बलभद्र,सीर  लंगल हातरे याहार    सीरपाणि     बलभद्र
बल,बलमस्यास्तीति बलः । बलदेवः ।,वल ताकत  रहने से  वलभद्र,वल  शारीरिक श्रमता  रहिथिबारु    वलभद्र
मदन,मदयतीति मदनः । मन्मथः ।,विमोहित करने वाला मन्मथ ।,विमोहित करिबा बाला   मन्मथ
मन्मथ,मत् बुद्धिः तां मध्नातीति मन्मथः ।,बुद्धि को मन्थन करने वाला मन्मथ ।,बुद्धि कु मन्थन करिबा बाला   मन्मथ ।
मार,अनेन म्रियन्ते इति मारः ।,विरहिजनों को मारने वाला मन्मथ ।,विरहिजनंकु मारिबा बाला   मन्मथ
प्रद्युम्न,प्रकृष्टं द्युम्नं बलमस्य प्रद्युम्नः । मन्मथः ।,प्रकृष्ट वल  ताकत वाला मन्मथ ।,प्रकृष्ट वल बाला   मन्मथ
मीनकेतन,मीनः केतनं ध्वजो यस्य सः । मन्मथः ।,मीन  केतन ध्वज चिह्व जिसका मन्मथ ।,मान   मकर  केतन  ध्वज   चिह्व  याहार   मन्मथ ।
कन्दर्प,कं कुत्सिते अव्ययं कुत्सितो दर्पॊ यस्य सः कन्दर्पः । मन्मथः ।,कुत्सित अव्यय या कुत्सित दर्प जिसका ।,कुस्तित अव्यह बाला अथबा कुत्सित दर्प बाला   मन्मथ ।
दर्पक,दर्पयतीति दर्पकः । मन्मथः ।,अहंकार धृष्टता अभिमान करने वाला मन्मथ ।,दर्प गर्व अहंकारदि करिबा बाला   मन्मथ
अनङ्ग,न अङ्ग ज्ञानं अस्यास्तीति वा ।,देहरहित अशरीरी  आकृतिहीन होने से मन्मथ ।,"देहरहित, अशरीरी, आकृतिहीन होथिवारु  मन्मथ ।"
काम,कामयति सुरतेच्छां उत्पादयतीति कामः । मन्मथः । काम्यते अनेन इति कामः ।,काम प्रेम या उपभोग की इच्छा करने वाला मन्मथ ।,काम प्रेम प्रणय अपभोग इच्छा करिबा बाला मन्मथ ।
पञ्चशर,उन्मादन  रोदन  संमोहन  शोषण  मारणाख्याः पंचशराः यस्य सः पञ्चशरः । मन्मथः ।,उन्मादन रोदन संमोहन शोषण मारण ये पांच कामदेव के बाण का,अरविंद अशोक चूत नवमल्लिका नीलोत्पल एहा कामदेवंक पांच वाण अटे ।
पञ्चशर,पञ्च शहाः अस्य ।,कार्य कहे गये है । अरविंद अशोक चूत नवमलिलका नीलोत्पल ये पांच काम देव के बाण कहे गये है ।,उम्मादन रोदन संमोहन शोषण मारण   एहा कामदेवङ्कर पांच वाणर कार्य ।
स्मर,स्मरन्त्यनेन कामिनः कामिनीरिति स्मरः । मन्मथः ।, कामियों को स्मरण करने वाला मन्मथ ।,कामिनींकु स्मरण करिबा बाला   मन्मथ ।
मनसिज,मनसि जायत इति मनसिजः । मन्मथः ।,मन में जात होने से मन्मथ ।,मनरे जात हेउथिबारु   मन्मथ ।
कुसुमेषु,कुसुमान्येव इषवः यस्य सः कुसुमेषुः । मन्मथः ।,कुसुम फूल जिसका इषु वण मन्मथ ।,कुसुम याहार वाण   मन्मथ ।
अनन्यज,नास्ति अन्यत् अस्मात् अनन्यो विष्णुः । ततो जातः ।,अनन्य विष्णु  अनन्य सें जात होने वाला मन्मथ ।,"अनन्य  विष्णु, अनन्यठारू जात जन्म होइथिवारु   मन्मथ ।"
पुष्पधन्वन्,पुष्पाणि धन्व यस्य सः पुष्पधन्वा । मन्मथः । पुष्पं धनुः यस्य इति पुष्पधन्वा ।,पुष्पों फूलों में धनुष जिसका मन्मथ ।,फूलरे धनु याहार   मन्मथ
रतिपति,रतेः पतिः रतिपतिः । मन्मथः ।,रति की पति मन्मथ ।,रतिर पति   मन्मथ
मकरध्वज,मकरो ध्वजो यस्य सः मकरध्वजः । मन्मथः । मकरः ज्वजे यस्य सः मकरध्वजः ।,मकरद्वज चिह्व होने से मन्मथ ।,"मकर ध्वज   चिह्व, होइथिबारु   मन्मथ"
ब्रह्मसू,अनिरुद्धः । मन्मथः ।,ब्रह्म ज्ञान उत्पन्न करने से मन्मथ ।,ब्रह्म ज्ञान उत्पन्न करिथिबारु   मन्मथ
अनिरुद्ध,अनिरुद्धयते परै इति अनिरुद्धः । अनिरुद्धः । न निरुद्धः इति अनिरुद्धः ।,नियन्त्रित प्रतिरुद्ध अवरुद्ध अवाधित न होने वाला अनिरुद्ध ।,नियन्त्रित   प्रतिरुद्ध   अवरुद्ध   अवाधित न हेउथिबारु   अनिरुद्ध ।
उषापति,उषा   बाणसुता   तस्याः पतिः उषापतिः । अनिरुद्धः ।,उषा की पति अनिरूद्ध।,उषार पति   अनिरुद्ध ।
लक्ष्मी,लक्ष्यते सर्वमनया इति लक्ष्मीः ।,सव को लक्ष्य करने से लक्ष्मी ।,सवुकु लक्ष्य करुथिबारु   लक्ष्मी ।
पद्मालया,पद्मं आलयो यस्याः सा पद्मालया । लक्ष्मी ।,पद्मालय जिसका लक्ष्मी ।,पद्म आलय याहार   लक्ष्मी
पद्मा,पद्यते सेव्यत इति पद्मा । पद्मं अस्ति अस्याः इति ।,पद पैर हात में रहने से लक्ष्मी।,पाद हातरे याहार   पद्मा   लक्ष्मी ।
कमला,कम्यत इति कमला । कमुकान्ति   कमलमस्या अस्तीति वा कमला । कमलैव कमला ।,कमल  पद्म रहने से लक्ष्मी ।,पद्म रहिथिबारु   लक्ष्मी ।
श्री,श्रयति हरिं इति श्रीः ।,विष्णु को आश्रय या सेवा करने से लक्ष्मी ।,विष्णुंकु आश्रय अथवा सेवा करुथिबारु   लक्ष्मी ।
श्री,श्रियते स्रर्वैरिति श्रीः । लक्ष्मीः । श्रीयत इति श्रीः श्रयत इति वा ।,सभी सेवा करने से लक्ष्मी ।,समस्तंकर सेव्य होइथिबारु   लक्ष्मी ।
हरिप्रिया,हरेः प्रिया हरिप्रिया । लक्ष्मीः ।,हरि का प्रिया लक्ष्मी ।,हरिंकर प्रिया   लक्ष्मी ।
इन्दिरा,इन्दतीती इंदिरा । लक्ष्मीः । इन्दिं रातीति इन्दिरा ।,शोभा देने वाला लक्ष्मी ।,शोभा   दबा वाला   लक्ष्मी ।
मा,अस्यै नाम्नः एकदेशग्रहणं मा इति । लक्ष्मीः ।,मातीति मा नामका एकादेश ग्रहण में मा लक्ष्मी ।,मातिति   मा   नामर एकदेश ग्रहगणरे   मा   लक्ष्मी ।
रमा,रमत इति रमा । लक्ष्मीः रमयतीति रमा ।,भृगु का पुत्री कन्या  लक्ष्मी ।,आनन्द दबा बाला   लक्ष्मी ।
पाञ्चजन्य, शमयति दुष्टानिति शंखः  विष्णुशंखः ।,तिमिरूप या उसका अस्तिज शंख होने से पांचजन्य शंख,थिला तारतस्तिरे प्रस्तुत होइथिबा शंख   पांचजन्य शंख
पाञ्चजन्य,पञ्चजनाख्ये असुरे बवः पाञ्चजन्यः ।,पंचजन नामक दैत्य का अस्तिज होने से  विष्णुशंख । पंचजन नामक दैत्य समुद्र में,पंचजन नामक दैत्यर अस्तिज हौइथिबारु  विष्णुशंख  पंचजन नामक दैत्य समुद्ररे तिरूपरे
सुदर्शन,इति सुदर्शनः ।,देखने को शोभन सुन्दर होने से सुदर्शन विष्णुचक्र।,देखिबाकु शोभन   सुन्दर होइथिबारु   सुदर्शन   विष्णुचक्र ।
सुदर्शन,करोति अभीष्टं चक्रं । चक्रति भ्रमतीति वा चक्रं । भक्तैः सुखेन दृश्यते,भक्त का सुख केलिए दर्शन से विष्णु चक्र ।,भक्तर सुख पाँइ देखा याउथिबारु   विष्णुचक्र ।
कौमोदकी, देवास्त्रत्वात् गदति भाषतीति गदा  विष्णुगदा ।,कु भूमि पृथिवी को हर्षित करने से कुमोदक विष्णु,कु भूमि पृथिवी  कु हर्षित करूथिबारु   कुमोदक विष्णु   तांकर गदा   विष्णुगदा  कौमोदकी।
कौमोदकी,कुं भूमिं मोदयति हर्षयति इति कुमोदको विष्णुः  तस्येयं कौमोदकी ।,देवास्त्र होने से गदति भाषने वाला है  वात कर्ता है ।,देवश्त्रकारणरु काथकहुछि   गदति   गदा ।
कौमोदकी,को पृथिव्याः मोदकः कुमुदको विष्णुः  तस्येयं कौमोदकी ।,विपक्षो को गदयति पीडयति पीडादेने से गदा ।,विपक्षकु   गदयति   पीडादउथिबारु   गदा ।
नन्दक, खण्डयति दुष्टानिति खड्गः  नन्दयति मित्राणीति नंदकः । विष्णोः गदा ।,दुष्टों को खण्डन करने से खड्ग  तलवार देवों मित्रों के नन्दयति आनंद, आनंद देउथिबारु   नंदक विष्णुखड्ग ।
नन्दक,नन्दयति देवान् ।  चौ,देने से नंदक विष्णुखड्ग ।,"दुष्टकु खण्डन  खण्ड  करुथिबारु   खाण्डा, खड्ग, दवता, मित्रंकु नंदयति"
कौस्तुभ,कुं स्तुभ्नाति व्याप्नोतीति कुस्तुभो समुद्रः । तत्र भवतीति कौस्तुभः  मन्यते प्रकाशते,कु भूवन पृथिवी स्तोभन करने सें कुस्तुभ विष्णु उनका होने से कौस्तुभ कु भुवन,करुथिबारु  कोस्तुभ विष्णुमणि । प्रकाशित हेउथिवारुमणि
कौस्तुभ,कुं स्तुभ्नातीति कुस्तुभो हरिः । तस्यायं कौस्तुभः । विष्णोर्माणेः ।,व्यापक होने से कुस्तुभ समुद्र  उस में रहने से  कौस्तुभ विष्णुमणि ।,कारणरु कौस्तुभ
गरुड,गरुद्भिः डीयते इति गरुडः । गिरति सर्पान्वा गरुडः ।,पक्षों परों द्वारा उडने गरुड । गिरति निगलना उदरस्थ करलेना ।,पक्ष पर द्वारा उडुथिबारु   गरुड
तार्क्ष्य,तार्क्षस्य कश्यपस्य अपत्यम् पुमान् तार्क्ष्यः  हला    चौ,तुक्ष का ऋषि के पुत्र गरुड ।,तृक्षर ऋषिर पुत्र   गरुड ।
वैनतेय,विनतायाः अपत्यं वैनतेयः । गरुडः ।,विनता की पुत्र गरूड ।,विनतार पुत्र   गरुड । विनतापुत्र ।
खगेश्वर,खगानाम् ईश्वरः खगेश्वरः । गरुडः ।,खगों का ईश श्रेष्ठ गरूड ।,खगमानकंर ईश   श्रेष्ठ   गरुड ।
नागान्तक,नागानाम् अन्तकः नागान्तकः । गरुडः ।,नागों का अन्तक विनाशक होने सें गरूड ।,नागमानंकर अन्तक विनाशक  होइथिवारु   गरुड
विष्णुरथ,विष्णोः रथः विष्णुरथः । गरुडः । विष्णोः रथ इव विष्णुरथः ।,विष्णु का रथ गरूड ।,विष्णुकंर रथ   गरुड
सुपर्ण,शोभनानि पर्णानि पक्षा यस्य सः सुपर्णः । गरुडः । कनकमयत्वात्कनकवर्णाद्वा,सुन्दर पक्षों परों वाला गरूड ।,सुन्दर पक्ष  पर बाला   गरुड ।
पन्नगाशन,पन्नगा अशनं यस्य सः पन्नगाशनः । गरुडः । पन्नगानअश्नातीति पन्नगः ।,पन्नग सर्प खाने वाला गरूड ।,पन्नग   सर्प खाने वाला   गरुड
ईश,ईष्टे ईशः । शिवः ।,ईष्ट में ईश शिव ।,ईष्टरे ईश   श्रेष्ट   शिव
पशुपति,त्राता संसारबंधनात् । शिवः । पशूनां स्थावरजङ्गमानां प्राणिमात्रस्य वा पतिः,पशवः क्षत्रज्ञाः उनका पति शिव ।,पशवः   श्रत्रज्ञाः   तांकर पति   शिव
पशुपति,पशुपतिः ।  हला,पशुओं का पति  शिव ।,पशुमानकंर पति   शिव
शिव,वा शिवः ।,अन्तकाल में प्रलयसमय में जगत इस में शोने से शिव या संहारक होने से शिव।,"अन्तकालरे, प्रलयसमयरे जगत एथिरे  शिवठारे  शोउथिबारु अथवा संहारक होइ थिबारु   शिव ।"
शिव,विशते सज्जनमनस्विति वा शिवः । शिवं कल्याणं तद्योगाद्वा शिवः । शिवं अस्यास्तीति,मंगलमय होने से शिव ।,मंगलमय   कल्याणमय होने से  शिव ।
शिव,शाम्यति परमानन्दस्वरूपत्वान्निर्विकारो भवतीति शिवः । शेरते सज्जनमनांस्यास्मिन्निति शिवः ।,सज्जनों का मन इस में शिव में  रहने से शिव ।,सज्जन मानकंर मन एठारे  शिवठारे  रहुथिबारु   शिव ।
शूलिन्,शूलमस्यास्तीति शूली । शिवः ।,शूल रहने से शिव ।,शूल रहिथिवारु   शिव ।
महेश्वर,महांश्चासौ ईश्वरश्च महेश्वरः । शिवः ।,महान ईश्वर होने से शिव ।,महान ईश्वर होइथिबारु   शिव
ईश्वर,ईष्टे इति ईश्वरः । शिवः । ईशितुं शीलमस्य इति शिवः ।,ईष्ट होने से ईश्वर ।,ईष्ट होइथिबारु   ईश्वर   शिव ।
शर्व,प्रलये भूतानि शृणाति हिनस्तीति शर्वः । शृ हिंसायां । शिवः । शृणाति इति,संहार करने से प्रलय समय में शिव ।,संहार करुथिबारु   प्रलयसमयरे   शिव
ईशान,ईष्टे ईशानः । शिवः । ईष्टे तच्छीलः । शिवः ।,ईष्ट में ईशान ।,ईष्टरे ईशान   शिव ।
चन्द्रशेखर,चन्द्रः शेखरं शिरोभूषणं यस्य सः चन्द्रशेखरः । शिवः ।,चन्द्र  चान्द शोखर शिरभूषण जिसका शिव ।,चन्द्र शिरभूषण याहार   शिव ।
भूतेश,भूतानां प्रमथानामीशः भूतेशः । शिवः ।,भूतों का  शिवभक्तों का प्रमयों का ईश शिव ।,"भूतमानकंर, शिवभक्तंकर, प्रमथमानंकर ईश   शिव ।"
खण्डपरशु,इति  तादृशः परशुः अस्य ।,खण्ड परशु वाला शिव ।,खण्ड    भग्न  परशु बाला  शिव ।
खण्डपरशु,कदाचित् खण्डितोस्य परशुरिति वा । खण्डयतीति खण्डः परशु अस्य । खण्डयति शत्रून्,परशु द्वारा खण्ड करने से शिव ।,परशु द्वारा शण्ड करुयिबारु   शिव ।
